Date,Open,High,Low,Close,Adj Close,Volume
2021-01-21,19.510000228881836,21.489999771118164,17.549999237060547,20.950000762939453,20.950000762939453,6091800
2021-01-22,20.049999237060547,26.0,19.5,21.389999389648438,21.389999389648438,2482600
2021-01-25,22.25,22.25,20.290000915527344,21.5,21.5,1086300
2021-01-26,21.25,23.71500015258789,20.868999481201172,23.059999465942383,23.059999465942383,802000
2021-01-27,22.549999237060547,24.59000015258789,21.709999084472656,22.479999542236328,22.479999542236328,1231200
2021-01-28,22.25,23.18000030517578,20.5,20.600000381469727,20.600000381469727,445000
2021-01-29,20.940000534057617,24.0,20.100000381469727,23.149999618530273,23.149999618530273,852800
2021-02-01,23.889999389648438,26.440000534057617,23.5,25.940000534057617,25.940000534057617,549100
2021-02-02,26.0,26.5,24.549999237060547,24.649999618530273,24.649999618530273,276400
2021-02-03,24.809999465942383,26.200000762939453,24.5,26.0,26.0,253000
2021-02-04,26.200000762939453,28.93000030517578,26.200000762939453,27.600000381469727,27.600000381469727,356300
2021-02-05,27.739999771118164,31.979999542236328,27.65999984741211,29.90999984741211,29.90999984741211,503900
2021-02-08,31.670000076293945,31.700000762939453,29.799999237060547,29.90999984741211,29.90999984741211,238800
2021-02-09,29.260000228881836,29.989999771118164,28.198999404907227,29.799999237060547,29.799999237060547,198100
2021-02-10,29.799999237060547,30.040000915527344,28.559999465942383,29.56999969482422,29.56999969482422,123200
2021-02-11,29.5,30.65999984741211,28.420000076293945,28.959999084472656,28.959999084472656,182400
2021-02-12,28.610000610351562,29.6200008392334,28.200000762939453,28.860000610351562,28.860000610351562,224600
2021-02-16,28.049999237060547,28.079999923706055,23.725000381469727,24.899999618530273,24.899999618530273,561300
2021-02-17,24.510000228881836,27.489999771118164,24.469999313354492,26.139999389648438,26.139999389648438,229700
2021-02-18,25.510000228881836,26.75,25.40999984741211,25.790000915527344,25.790000915527344,130100
2021-02-19,25.81999969482422,27.21299934387207,25.6299991607666,26.510000228881836,26.510000228881836,132600
2021-02-22,26.3799991607666,26.75,24.5,25.079999923706055,25.079999923706055,142600
2021-02-23,24.389999389648438,24.719999313354492,22.950000762939453,24.610000610351562,24.610000610351562,176700
2021-02-24,24.43000030517578,25.770000457763672,23.75,25.170000076293945,25.170000076293945,125900
2021-02-25,24.969999313354492,25.899999618530273,23.360000610351562,23.90999984741211,23.90999984741211,182700
2021-02-26,23.5,24.5,22.75,23.43000030517578,23.43000030517578,156500
2021-03-01,23.65999984741211,24.18000030517578,21.68000030517578,22.360000610351562,22.360000610351562,378400
2021-03-02,22.299999237060547,23.479999542236328,22.06999969482422,23.219999313354492,23.219999313354492,161700
2021-03-03,23.219999313354492,23.940000534057617,22.764999389648438,23.239999771118164,23.239999771118164,87700
2021-03-04,23.06999969482422,23.56999969482422,22.610000610351562,23.200000762939453,23.200000762939453,198700
2021-03-05,23.149999618530273,23.229999542236328,20.149999618530273,21.559999465942383,21.559999465942383,377100
2021-03-08,21.8700008392334,22.979999542236328,21.655000686645508,22.170000076293945,22.170000076293945,146900
2021-03-09,22.989999771118164,23.84000015258789,22.399999618530273,23.6200008392334,23.6200008392334,140600
2021-03-10,23.829999923706055,25.200000762939453,23.540000915527344,25.059999465942383,25.059999465942383,253800
2021-03-11,25.440000534057617,26.915000915527344,25.030000686645508,26.079999923706055,26.079999923706055,178900
2021-03-12,26.0,27.0,25.0,26.5,26.5,104200
2021-03-15,26.809999465942383,27.0,26.290000915527344,26.969999313354492,26.969999313354492,112100
2021-03-16,27.06999969482422,28.5,25.739999771118164,25.760000228881836,25.760000228881836,169500
